web-scraper-order,web-scraper-start-url,userID,userID-href,name,uploads,subscribers,videoviews,country,channeltype,usercreated,grade,YouTube_Link,YouTube_Link-href,TwitterHandle,TwitterHandle-href,InstagramHandle,InstagramHandle-href,MonthlyEarnings,YearlyEarnings
1553039497-4274,https://socialblade.com/youtube/top/5000/mostsubscribed,The Late Show with Stephen Colbert,https://socialblade.com/youtube/c/colbertlateshow,The Late Show with Stephen Colbert,5083,5970508,4476736602,,Entertainment,"May 27th, 2015",A,,https://youtube.com/channel/UCMtFAi84ehTSYSE9XoHefig,,https://facebook.com/colbertlateshow,,https://twitter.com/colbertlateshow,€33K - €528.2K,€396.1K - €6.3M
1553039491-4272,https://socialblade.com/youtube/top/5000/mostsubscribed,Indosiar,https://socialblade.com/youtube/c/indosiar,Indosiar,24202,5969150,3527384532,ID,Entertainment,"Sep 23rd, 2013",A,,https://youtube.com/channel/UCYqOeAXJm8yV9sJ8Ud3cR7A,,https://www.instagram.com/indosiarid/,,https://plus.google.com/115151180232784659915,€55K - €880.2K,€660.1K - €10.6M
1553039413-4254,https://socialblade.com/youtube/top/5000/mostsubscribed,TocToc Toys,https://socialblade.com/youtube/channel/UCe6QHyohO9KSXJkicKg8LLQ,TocToc Toys,151,5965862,1452693156,PE,Education,"Oct 14th, 2016",A+,,https://youtube.com/channel/UCe6QHyohO9KSXJkicKg8LLQ,null,,,https://youtube.com/channel/UCe6QHyohO9KSXJkicKg8LLQ,€101.5K - €1.6M,€1.2M - €19.5M
1553039493-4273,https://socialblade.com/youtube/top/5000/mostsubscribed,BBC,https://socialblade.com/youtube/user/bbc,BBC,23168,5961330,5444757320,GB,Entertainment,"Nov 12th, 2005",A,,https://youtube.com/channel/UCCj956IF62FbT7Gouszaj9w,,https://twitter.com/bbciplayer,,https://plus.google.com/116995183723351752325,€18.4K - €294.2K,€220.7K - €3.5M
1553039482-4271,https://socialblade.com/youtube/top/5000/mostsubscribed,DEL Records,https://socialblade.com/youtube/c/delrecordsoficial,DEL Records,1257,5956204,4009895505,US,Music,"Jan 30th, 2009",A,,https://youtube.com/channel/UChYwYTzrhfxPfJPFWRlYwUg,,https://www.instagram.com/delrecords,,https://plus.google.com/108048286504107265856,€0 - €0,€0 - €0
1553039478-4270,https://socialblade.com/youtube/top/5000/mostsubscribed,YRF Music,https://socialblade.com/youtube/c/yrfmusic,YRF Music,661,5947712,248071955,IN,Music,"Apr 9th, 2010",B+,,https://youtube.com/channel/UCjeD2I8jwXg2l_nvXb_6Hzw,,https://twitter.com/yrf,,https://instagram.com/yrf,€2.3K - €36.9K,€27.7K - €442.5K
1553039474-4269,https://socialblade.com/youtube/top/5000/mostsubscribed,Bajan,https://socialblade.com/youtube/c/bajan-canadian,Bajan,4024,5945154,1840067149,US,Games,"Mar 3rd, 2010",B,,https://youtube.com/channel/UCuj1Ms9_LCsQPSJ4p8nvOVA,,https://instagram.com/bajancanadian,,https://plus.google.com/105850968139073528087,€467 - €7.5K,€5.6K - €89.6K
1553039470-4268,https://socialblade.com/youtube/top/5000/mostsubscribed,Funketon,https://socialblade.com/youtube/user/djtomproductions,Funketon,403,5929273,1580619413,BR,Music,"Dec 29th, 2008",B+,,https://youtube.com/channel/UCfwMtPbRx38cg7qoQJ0iUlQ,,https://instagram.com/tomproducoes,,https://plus.google.com/113273792809307289814,€4.3K - €69.3K,€52K - €831.5K
1553039458-4265,https://socialblade.com/youtube/top/5000/mostsubscribed,HiMan,https://socialblade.com/youtube/user/hibestman,HiMan,171,5928705,553669346,,People,"Oct 16th, 2014",B+,,https://youtube.com/channel/UCM44x9uWlx__9M9Y2IFhxzQ,,https://www.instagram.com/andrey_shirgin/,,https://plus.google.com/117734955124276966343,€9.8K - €156.8K,€117.6K - €1.9M
1553039463-4266,https://socialblade.com/youtube/top/5000/mostsubscribed,OneRepublicVEVO,https://socialblade.com/youtube/user/onerepublicvevo,OneRepublicVEVO,144,5922050,4304731577,US,Music,"May 12th, 2009",A-,,https://youtube.com/channel/UCQ5kHOKpF3-1_UCKaqXARRg,,https://youtube.com/channel/UCQ5kHOKpF3-1_UCKaqXARRg,,https://plus.google.com/107372623089107949498,€10.2K - €162.6K,€121.9K - €2M
1553039442-4261,https://socialblade.com/youtube/top/5000/mostsubscribed,Dima Kids TV,https://socialblade.com/youtube/channel/UCb1WBEEfA4e6FOLOKAH5j8w,Dima Kids TV,96,5917921,862175658,US,Film,"Feb 8th, 2016",D-,,https://youtube.com/channel/UCb1WBEEfA4e6FOLOKAH5j8w,,https://www.instagram.com/dima_kids_tv/,,https://plus.google.com/112947055126176951506,€0 - €0,€0 - €0
1553039438-4260,https://socialblade.com/youtube/top/5000/mostsubscribed,Lucas Lira,https://socialblade.com/youtube/c/invento,Lucas Lira,159,5906308,266138060,BR,Comedy,"Feb 11th, 2012",B-,,https://youtube.com/channel/UCzHqTvNj25XBz2aD1rCEoKQ,,https://www.instagram.com/lucas_lira,,https://plus.google.com/115252033160236656856,€249 - €4K,€3K - €47.8K
1553039422-4256,https://socialblade.com/youtube/top/5000/mostsubscribed,Hannah Stocking,https://socialblade.com/youtube/c/hannahstocking,Hannah Stocking,99,5901799,1052935864,US,Comedy,"Sep 26th, 2013",A-,,https://youtube.com/channel/UCkS8bfIrm38QCSQeOqRxR4A,,https://www.instagram.com/hannahstocking,,https://plus.google.com/114743842362262533224,€11.6K - €185.1K,€138.8K - €2.2M
1553039417-4255,https://socialblade.com/youtube/top/5000/mostsubscribed,Th? Nguy?n,https://socialblade.com/youtube/channel/UCSJsjCiTl2lourZXnigVCoA,Th? Nguy?n,760,5889157,3267324159,VN,People,"Mar 6th, 2016",A,,https://youtube.com/channel/UCSJsjCiTl2lourZXnigVCoA,,https://www.facebook.com/thonguyen1192/,,https://plus.google.com/u/0/b/104826355500892072473/+th%c6%a1nguy%e1%bb%85ndochoi/posts,€27.5K - €440.4K,€330.3K - €5.3M
1553039405-4252,https://socialblade.com/youtube/top/5000/mostsubscribed,Guns N' Roses,https://socialblade.com/youtube/channel/UCIak6JLVOjqhStxrL1Lcytw,Guns N' Roses,0,5880065,0,US,,"Jun 25th, 2018",D-,,https://youtube.com/channel/UCIak6JLVOjqhStxrL1Lcytw,null,,,https://youtube.com/channel/UCIak6JLVOjqhStxrL1Lcytw,€0 - €0,€0 - €0
1553039409-4253,https://socialblade.com/youtube/top/5000/mostsubscribed,LispyJimmy,https://socialblade.com/youtube/user/unitedgamerz4545,LispyJimmy,2269,5876960,551690764,US,Games,"Oct 7th, 2012",B,,https://youtube.com/channel/UCgrA08uO7JR9h6Xr-ONjPkA,,https://twitter.com/unitedgamerzhq,,https://plus.google.com/104701620972876453995,€1.7K - €27.5K,€20.6K - €329.5K
1553039396-4250,https://socialblade.com/youtube/top/5000/mostsubscribed,Tibo InShape,https://socialblade.com/youtube/c/tiboinshape,Tibo InShape,610,5876089,1490128145,FR,Sports,"Aug 15th, 2008",B+,,https://youtube.com/channel/UCpWaR3gNAQGsX48cIlQC0qw,,https://instagram.com/tiboinshape,,https://plus.google.com/100710499109317484947,€10.9K - €173.7K,€130.3K - €2.1M
1553039392-4249,https://socialblade.com/youtube/top/5000/mostsubscribed,Jaiden Animations,https://socialblade.com/youtube/c/jaidenanimations,Jaiden Animations,83,5874300,703617159,US,Film,"Feb 17th, 2014",B+,,https://youtube.com/channel/UCGwu0nbY2wSkW8N-cghnLpA,,https://twitter.com/jaidenanimation,,https://www.instagram.com/jaiden_animations/,€6.3K - €101.4K,€76.1K - €1.2M
1553039372-4244,https://socialblade.com/youtube/top/5000/mostsubscribed,Rans Entertainment,https://socialblade.com/youtube/c/ransentertainment,Rans Entertainment,495,5871296,706652510,ID,Entertainment,"Dec 27th, 2015",A,,https://youtube.com/channel/UCvA9_f5Lwk-poMynabtrZPg,null,,,https://youtube.com/channel/UCvA9_f5Lwk-poMynabtrZPg,€25.9K - €414K,€310.5K - €5M
1553039380-4246,https://socialblade.com/youtube/top/5000/mostsubscribed,HoomanTV,https://socialblade.com/youtube/c/hoomantvofficial,HoomanTV,57,5859414,981848124,US,Entertainment,"May 24th, 2014",B+,,https://youtube.com/channel/UC64guZp8DXzqrIQ5OPedviw,,https://www.twitter.com/hoomannouri,,https://www.instagram.com/hoomannouri,€5.7K - €90.7K,€68K - €1.1M
1553039376-4245,https://socialblade.com/youtube/top/5000/mostsubscribed,Reik,https://socialblade.com/youtube/user/reik,Reik,130,5853188,64043063,MX,Music,"Nov 21st, 2005",B,,https://youtube.com/channel/UC2rbcd_YR3j_klIv4AXXaZw,,https://www.twitter.com/reikmx,,https://plus.google.com/108188902312429742212,€404 - €6.5K,€4.8K - €77.5K
1553039368-4243,https://socialblade.com/youtube/top/5000/mostsubscribed,Health Tips for You,https://socialblade.com/youtube/channel/UCF1MvdmVoBk68RxduPdaAzQ,Health Tips for You,10088,5847727,834351221,,Howto,"Apr 23rd, 2016",B+,,https://youtube.com/channel/UCF1MvdmVoBk68RxduPdaAzQ,null,,,https://youtube.com/channel/UCF1MvdmVoBk68RxduPdaAzQ,€5.9K - €93.8K,€70.4K - €1.1M
1553039364-4242,https://socialblade.com/youtube/top/5000/mostsubscribed,FaZe Clan,"https://socialblade.com/youtube/c/faze,",FaZe Clan,1509,5841888,612065776,US,Entertainment,"May 31st, 2010",B+,,https://youtube.com/channel/UCNdpD9V0PIrH1glUJ6RG4-w,,https://twitter.com/fazeclan,,https://instagram.com/fazeclan,€5K - €79.4K,€59.6K - €953.2K
1553039361-4241,https://socialblade.com/youtube/top/5000/mostsubscribed,Jaclyn Hill,https://socialblade.com/youtube/user/jaclynhill1,Jaclyn Hill,333,5830297,487521227,US,Howto,"Sep 7th, 2010",B,,https://youtube.com/channel/UC6jgzx2g3nlbaYkd8EMweKA,,https://twitter.com/jaclynhill,,https://instagram.com/jaclynhill,€1.1K - €18.2K,€13.7K - €218.5K
1553039352-4239,https://socialblade.com/youtube/top/5000/mostsubscribed,??? ?????? !?,https://socialblade.com/youtube/channel/UC9oqS4pLIQrrgJy_uBZq55Q,??? ?????? !?,1603,5829331,942559908,SA,Film,"Dec 30th, 2015",B+,,https://youtube.com/channel/UC9oqS4pLIQrrgJy_uBZq55Q,,https://www.instagram.com/m_aboalnga/,,https://plus.google.com/u/0/b/114338428307925555065/114338428307925555065,€4.5K - €71.7K,€53.7K - €859.9K
1553039356-4240,https://socialblade.com/youtube/top/5000/mostsubscribed,ToysToSee,https://socialblade.com/youtube/c/toystosee,ToysToSee,518,5826591,3842332315,,Entertainment,"Jun 30th, 2015",D-,,https://youtube.com/channel/UC6_h2ICrhla8_zm-K5KKLaA,null,,,https://youtube.com/channel/UC6_h2ICrhla8_zm-K5KKLaA,€0 - €0,€0 - €0
1553039328-4233,https://socialblade.com/youtube/top/5000/mostsubscribed,TheDonato,https://socialblade.com/youtube/channel/UCaHEdZtk6k7SVP-umnzifmQ,TheDonato,747,5812967,603893824,VE,Games,"Feb 17th, 2015",A,,https://youtube.com/channel/UCaHEdZtk6k7SVP-umnzifmQ,,https://instagram.com/thedonato,,https://plus.google.com/103062525964690388024,€22.1K - €354.3K,€265.7K - €4.3M
1553039344-4237,https://socialblade.com/youtube/top/5000/mostsubscribed,dosogas,https://socialblade.com/youtube/c/-dosogas,dosogas,450,5797089,1036185767,UY,Comedy,"Jun 1st, 2014",B,,https://youtube.com/channel/UCUTdXbmaeot8CqyBNRmEbWA,,https://instagram.com/dosogas,,https://plus.google.com/117114527093556535972,€902 - €14.4K,€10.8K - €173.1K
1553039336-4235,https://socialblade.com/youtube/top/5000/mostsubscribed,Star Casablanca | ????…,https://socialblade.com/youtube/c/starcasablancadb,Star Casablanca | ???? ?????…,601,5792752,2090899849,IQ,Music,"Jan 6th, 2015",A,,https://youtube.com/channel/UCuvAFpR5uxoXF8G4OgKY0lQ,,https://twitter.com/star_casablanca,,https://www.instagram.com/casablanca.star/,€20.7K - €331.6K,€248.7K - €4M
1553039340-4236,https://socialblade.com/youtube/top/5000/mostsubscribed,Planet Dolan,https://socialblade.com/youtube/c/planetdolan,Planet Dolan,1174,5786898,1745203497,AU,Education,"Mar 1st, 2014",B,,https://youtube.com/channel/UCgJjd8J5moTQSwnCIx4WSIw,,https://youtube.com/channel/UCgJjd8J5moTQSwnCIx4WSIw,,https://twitter.com/theddguides,€1.5K - €23.6K,€17.7K - €283K
1553039332-4234,https://socialblade.com/youtube/top/5000/mostsubscribed,The Shiny Peanut,https://socialblade.com/youtube/channel/UCgiO267R4Qo-SJF2UzH5ccQ,The Shiny Peanut,531,5785007,869130348,ID,Travel,"Oct 26th, 2016",A-,,https://youtube.com/channel/UCgiO267R4Qo-SJF2UzH5ccQ,,https://twitter.com/theshinypeanut,,https://www.instagram.com/theshinypeanut/,€15.8K - €253K,€189.8K - €3M
1553039300-4226,https://socialblade.com/youtube/top/5000/mostsubscribed,Nick Jr.,https://socialblade.com/youtube/c/nickelodeonjuniorfrance,Nick Jr.,2478,5774053,4773676064,US,Film,"Sep 27th, 2012",A,,https://youtube.com/channel/UCUe6ZpY6TJ0no8jI4l2iLxw,,https://www.facebook.com/nickjr,,https://plus.google.com/113533607956684023060,€80.8K - €1.3M,€969.9K - €15.5M
1553039316-4230,https://socialblade.com/youtube/top/5000/mostsubscribed,Make Joke Of,https://socialblade.com/youtube/c/makejokeof,Make Joke Of,26,5772160,635094590,IN,Comedy,"Aug 1st, 2017",B+,,https://youtube.com/channel/UCvgteBQjoaxE0bhFkpu8qAw,,https://youtube.com/channel/UCvgteBQjoaxE0bhFkpu8qAw,,https://www.facebook.com/makejokeof,€6.9K - €110.3K,€82.7K - €1.3M
1553039312-4229,https://socialblade.com/youtube/top/5000/mostsubscribed,Anny May,https://socialblade.com/youtube/c/easylifetvofficial,Anny May,405,5768003,776504493,RU,Entertainment,"Apr 13th, 2016",B+,,https://youtube.com/channel/UCxz6gPUpL6l5WSTUObsH9MA,,https://twitter.com/anny_mayyy,,https://www.instagram.com/anny_mayy/,€5K - €79.2K,€59.4K - €950.9K
1553039308-4228,https://socialblade.com/youtube/top/5000/mostsubscribed,BE AMAZED,https://socialblade.com/youtube/c/beamazed,BE AMAZED,796,5766651,1305965896,,Entertainment,"Jul 22nd, 2015",A-,,https://youtube.com/channel/UCkQO3QsgTpNTsOw6ujimT5Q,,https://www.twitter.com/beamazedvideos/,,https://www.instagram.com/beamazedvideos/,€12.8K - €204.6K,€153.4K - €2.5M
1553039304-4227,https://socialblade.com/youtube/top/5000/mostsubscribed,TomSka,"https://socialblade.com/youtube/c/,tomska",TomSka,160,5759458,1352094558,GB,Comedy,"May 30th, 2006",B+,,https://youtube.com/channel/UCOYWgypDktXdb-HfZnSMK6A,,https://instagram.com/darksquidge,,https://plus.google.com/113567071689343112536,€4K - €63.3K,€47.5K - €759.4K
1553039291-4224,https://socialblade.com/youtube/top/5000/mostsubscribed,ElChurches,https://socialblade.com/youtube/c/elchurches,ElChurches,1770,5755982,1456113111,ES,Games,"Aug 4th, 2012",B+,,https://youtube.com/channel/UC3MkSLMRz4KzhsjPUtBtPdg,,https://twitter.com/elchurchesyt,,https://www.instagram.com/elchurchesoficial/,€8.1K - €130.1K,€97.5K - €1.6M
1553039267-4218,https://socialblade.com/youtube/top/5000/mostsubscribed,A4,https://socialblade.com/youtube/c/a4a4a4a4,A4,101,5755788,387845742,BY,Entertainment,"Nov 29th, 2014",B+,,https://youtube.com/channel/UC2tsySbe9TNrI-xh2lximHA,,https://twitter.com/a4omg,,https://www.instagram.com/a4omg/,€11.3K - €180.4K,€135.3K - €2.2M
1553039275-4220,https://socialblade.com/youtube/top/5000/mostsubscribed,O Que Não Dizer Oficial,https://socialblade.com/youtube/c/oquenaodizeroficial,O Que Não Dizer Oficial,200,5752176,445646850,BR,Entertainment,"Feb 6th, 2015",B+,,https://youtube.com/channel/UC19aAr6UojQesIVCBsXJGIw,,https://instagram.com/oquenaodizeroficial/,,https://plus.google.com/106616500305936594950,€4.8K - €76.2K,€57.2K - €914.6K
1553039271-4219,https://socialblade.com/youtube/top/5000/mostsubscribed,Inside Edition,https://socialblade.com/youtube/c/insideedition,Inside Edition,16462,5748635,6751659314,US,News,"Oct 9th, 2012",A,,https://youtube.com/channel/UC9k-yiEpRHMNVOnOi_aQK8w,,https://instagram.com/insideedition/,,https://plus.google.com/104304424115513428440,€54.6K - €873.4K,€655K - €10.5M
1553039251-4214,https://socialblade.com/youtube/top/5000/mostsubscribed,Tom Slime,https://socialblade.com/youtube/c/vickycooltv,Tom Slime,475,5733538,1682491547,US,,"Feb 11th, 2016",A,,https://youtube.com/channel/UCOs8VELPB5GC_eKibH9e-CQ,null,,,https://youtube.com/channel/UCOs8VELPB5GC_eKibH9e-CQ,€32K - €512.1K,€384.1K - €6.1M
1553039263-4217,https://socialblade.com/youtube/top/5000/mostsubscribed,ABS-CBN News,https://socialblade.com/youtube/c/abscbnnews,ABS-CBN News,96307,5731964,4020107670,PH,News,"Oct 22nd, 2009",A,,https://youtube.com/channel/UCE2606prvXQc_noEqKxVJXA,,https://www.instagram.com/abscbnnews/,,https://plus.google.com/112872030600928328544/,€22.2K - €355.3K,€266.5K - €4.3M
1553039247-4213,https://socialblade.com/youtube/top/5000/mostsubscribed,ZicZic Supers Songs,https://socialblade.com/youtube/c/babylearncolor,ZicZic Supers Songs,33,5724549,472313924,US,Education,"Jan 19th, 2008",A-,,https://youtube.com/channel/UCgVHGvujcrBaXP8vUJ_SzIw,null,,,https://youtube.com/channel/UCgVHGvujcrBaXP8vUJ_SzIw,€14.3K - €229.1K,€171.8K - €2.7M
1553039243-4212,https://socialblade.com/youtube/top/5000/mostsubscribed,Hueva,https://socialblade.com/youtube/c/huevagameplayssecretos,Hueva,1152,5722973,1185500133,MX,Games,"Jan 1st, 2012",A,,https://youtube.com/channel/UCe7VVljK2G15Bdxfr-xQoMw,,https://twitter.com/huevanator,,https://plus.google.com/110455508821903385600,€17.8K - €285.6K,€214.2K - €3.4M
1553039259-4216,https://socialblade.com/youtube/top/5000/mostsubscribed,Team Edge,https://socialblade.com/youtube/c/teamedgegames,Team Edge,489,5721684,1797487094,US,Comedy,"Sep 8th, 2015",A-,,https://youtube.com/channel/UCaRH3rDr3K3CEfhVqu5mgUQ,,https://www.twitter.com/its_teamedge,,https://www.instagram.com/itsteamedge,€14.2K - €226.6K,€170K - €2.7M
1553039255-4215,https://socialblade.com/youtube/top/5000/mostsubscribed,TheShooterCoC,https://socialblade.com/youtube/c/theshootercoc,TheShooterCoC,231,5721191,428381998,ES,Entertainment,"Apr 16th, 2013",B,,https://youtube.com/channel/UCtdyg85rwF9bPlz3ON6izFw,,https://www.instagram.com/theshootercoc/,,https://plus.google.com/117332222247995540306,€2.7K - €43.8K,€32.9K - €525.8K
1553039219-4206,https://socialblade.com/youtube/top/5000/mostsubscribed,SAS-ASMR,https://socialblade.com/youtube/c/sasasmr,SAS-ASMR,594,5707722,1181290402,CA,Entertainment,"Apr 6th, 2016",A,,https://youtube.com/channel/UCp4LfMtDfoa29kTlLnqQ5Mg,,https://youtube.com/channel/UCp4LfMtDfoa29kTlLnqQ5Mg,,https://www.instagram.com/sasittube/,€22K - €351.7K,€263.8K - €4.2M
1553039235-4210,https://socialblade.com/youtube/top/5000/mostsubscribed,dope2111,https://socialblade.com/youtube/user/dope2111,dope2111,230,5702293,1576315574,US,Howto,"Jun 29th, 2009",B,,https://youtube.com/channel/UC_GvMVffgctSISDkeWlKhXQ,,https://instagram.com/promisetamang,,https://plus.google.com/105209377507666651846,€1.4K - €22.1K,€16.6K - €265.1K
1553039227-4208,https://socialblade.com/youtube/top/5000/mostsubscribed,Corridor,https://socialblade.com/youtube/c/corridordiital,Corridor,173,5699426,939889768,US,Entertainment,"May 17th, 2010",B+,,https://youtube.com/channel/UCsn6cjffsvyOZCZxvGoJxGg,,https://www.instagram.com/corridordigital,,https://plus.google.com/100532190549266703525,€5.3K - €84.1K,€63K - €1M
1553039231-4209,https://socialblade.com/youtube/top/5000/mostsubscribed,Amazing Kids Toys Review,https://socialblade.com/youtube/channel/UCWXrx8EldKEgeP1KpbmUjBQ,Amazing Kids Toys Review,547,5698662,1506748973,AU,Entertainment,"Nov 30th, 2015",B+,,https://youtube.com/channel/UCWXrx8EldKEgeP1KpbmUjBQ,,https://youtube.com/channel/UCWXrx8EldKEgeP1KpbmUjBQ,,https://plus.google.com/117961355694870925500,€5K - €79.8K,€59.8K - €957.4K
1553039224-4207,https://socialblade.com/youtube/top/5000/mostsubscribed,WatchMojo Español,https://socialblade.com/youtube/user/watchmojoespanol,WatchMojo Español,1486,5697310,1119211518,CA,Entertainment,"Feb 22nd, 2012",B+,,https://youtube.com/channel/UClgevvAYKcfuthTWppKT0IQ,,https://www.twitter.com/watchmojoes,,https://plus.google.com/118297003318547413196,€9K - €143.3K,€107.4K - €1.7M
1553039215-4205,https://socialblade.com/youtube/top/5000/mostsubscribed,BBC Radio 1,https://socialblade.com/youtube/c/bbcr1,BBC Radio 1,3937,5685367,2104425488,GB,Music,"Mar 8th, 2006",B+,,https://youtube.com/channel/UC-FQUIVQ-bZiefzBiQAa8Fw,,https://twitter.com/bbcr1,,https://plus.google.com/100336346898711637184,€9.1K - €145.1K,€108.8K - €1.7M
1553039207-4203,https://socialblade.com/youtube/top/5000/mostsubscribed,MoonKase,https://socialblade.com/youtube/user/moonkase,MoonKase,2995,5682548,1685857876,BR,Games,"Jan 30th, 2012",A-,,https://youtube.com/channel/UCB6p9lMfq6rczdFStOJ1eNA,,https://www.instagram.com/moonkase/,,https://plus.google.com/111067131928453868826,€12.1K - €193.4K,€145.1K - €2.3M
1553039199-4201,https://socialblade.com/youtube/top/5000/mostsubscribed,Creepypastas Everywhere,https://socialblade.com/youtube/c/creepypastaseverywhere,Creepypastas Everywhere,403,5681891,744757405,MX,Entertainment,"Aug 3rd, 2013",B,,https://youtube.com/channel/UCkDF5-NG0jlPwt0PTzgBM2A,,https://www.instagram.com/capieverywhere/,,https://plus.google.com/109231460066695748088,€4.2K - €68K,€51K - €815.8K
1553039211-4204,https://socialblade.com/youtube/top/5000/mostsubscribed,CanalKids HD,https://socialblade.com/youtube/channel/UCMFZzyhDNnkQUujdM59ZW8g,CanalKids HD,20,5677343,1147072,BR,,"May 2nd, 2017",B,,https://youtube.com/channel/UCMFZzyhDNnkQUujdM59ZW8g,null,,,https://youtube.com/channel/UCMFZzyhDNnkQUujdM59ZW8g,€0 - €0,€0 - €0
1553039191-4199,https://socialblade.com/youtube/top/5000/mostsubscribed,#Mind Warehouse,https://socialblade.com/youtube/c/mindwarehouse,#Mind Warehouse,350,5672610,1642709337,US,Education,"Aug 10th, 2013",A-,,https://youtube.com/channel/UCYenDLnIHsoqQ6smwKXQ7Hg,,https://www.facebook.com/mindwarehouses/,,https://plus.google.com/103029226125999213895,€11.7K - €187.5K,€140.6K - €2.2M
1553039195-4200,https://socialblade.com/youtube/top/5000/mostsubscribed,Cameron Dallas,https://socialblade.com/youtube/user/theecamerondallas,Cameron Dallas,3,5666926,5123854,US,People,"Sep 11th, 2012",C+,,https://youtube.com/channel/UCUKxWDTKylMaLjbNe3pOpCg,,https://youtube.com/channel/UCUKxWDTKylMaLjbNe3pOpCg,,https://plus.google.com/113507405273335836724,€34 - €546,€410 - €6.6K
1553039187-4198,https://socialblade.com/youtube/top/5000/mostsubscribed,MBC ???,https://socialblade.com/youtube/user/mbcmasr,MBC ???,13170,5664537,3563328985,EG,Entertainment,"Oct 14th, 2012",A,,https://youtube.com/channel/UCnFKsbAof9fRv614I4wJX_w,,https://twitter.com/mbcmasr,,https://plus.google.com/116784898683329108702,€24.1K - €385K,€288.8K - €4.6M
1553039171-4194,https://socialblade.com/youtube/top/5000/mostsubscribed,????????? Ms Yeah…,https://socialblade.com/youtube/channel/UCRB4xZ_2ew7fzmrcv8aj4Lw,????????? Ms Yeah Official…,125,5658396,1222308899,CN,Entertainment,"Feb 15th, 2017",A,,https://youtube.com/channel/UCRB4xZ_2ew7fzmrcv8aj4Lw,,https://www.facebook.com/officechef.msyeah/,,https://twitter.com/miss_xiaoye,€17.1K - €273.8K,€205.4K - €3.3M
1553039179-4196,https://socialblade.com/youtube/top/5000/mostsubscribed,ToyTocToc,https://socialblade.com/youtube/c/toytoctoc,ToyTocToc,563,5657738,1828019408,US,Entertainment,"Sep 24th, 2016",A-,,https://youtube.com/channel/UCRZPl8_4FXHeFhawbrtxdOQ,,https://twitter.com/toytoctoc,,https://plus.google.com/107675627803232810122,€21.9K - €349.9K,€262.4K - €4.2M
1553039175-4195,https://socialblade.com/youtube/top/5000/mostsubscribed,malena010102,"https://socialblade.com/youtube/c/malena010102,",malena010102,3262,5655583,842934391,BR,Games,"Jan 27th, 2009",B+,,https://youtube.com/channel/UCAA4eBBT2lt4C3YcXMdNOFA,,https://twitter.com/loiranoob,,https://instagram.com/loiranoob,€5.8K - €92.3K,€69.2K - €1.1M
1553039167-4193,https://socialblade.com/youtube/top/5000/mostsubscribed,Dave and Ava - Nursery Rhymes and…,https://socialblade.com/youtube/c/daveandava,Dave and Ava - Nursery Rhymes and Baby Songs,413,5647907,3205693115,CA,Education,"Dec 4th, 2014",A,,https://youtube.com/channel/UC6zhI71atP7YLoZyIyCIGNw,,https://twitter.com/daveandava,,https://instagram.com/daveandava,€19.6K - €313.9K,€235.4K - €3.8M
1553039155-4190,https://socialblade.com/youtube/top/5000/mostsubscribed,Harsh Beniwal,https://socialblade.com/youtube/c/thebrainhumour,Harsh Beniwal,126,5644604,404055598,IN,Comedy,"May 6th, 2015",B+,,https://youtube.com/channel/UCVmEbEQUGXHVm-O9pqa3JWg,,https://instagram.com/harshbeniwal,,https://plus.google.com/115363942841274825828,€5.2K - €83.6K,€62.7K - €1M
1553039159-4191,https://socialblade.com/youtube/top/5000/mostsubscribed,SciShow,https://socialblade.com/youtube/c/sci-show,SciShow,1891,5638727,994193831,US,Education,"Oct 20th, 2011",B+,,https://youtube.com/channel/UCZYTClx2T1of7BRZ86-8fow,,https://instagram.com/thescishow,,https://plus.google.com/106717099064272520324,€3.4K - €55K,€41.2K - €659.7K
1553039151-4189,https://socialblade.com/youtube/top/5000/mostsubscribed,RaeSremmurdVEVO,https://socialblade.com/youtube/user/raesremmurdvevo,RaeSremmurdVEVO,51,5630268,3198561704,US,Music,"Jul 1st, 2014",B+,,https://youtube.com/channel/UCweazuUMMKdL2wwSyrxla9A,,https://twitter.com/raesremmurd,,https://instagram.com/raesremmurd,€7K - €111.7K,€83.8K - €1.3M
1553039143-4187,https://socialblade.com/youtube/top/5000/mostsubscribed,Juan Pablo Jaramillo,https://socialblade.com/youtube/c/juanpablojaramillo,Juan Pablo Jaramillo,315,5618947,363259226,CO,People,"Sep 25th, 2011",B,,https://youtube.com/channel/UCRO2HUx-NQ71VPsXlfomiMg,,https://instagram.com/juanjaramilloe,,https://plus.google.com/108867568963919080110,€545 - €8.7K,€6.5K - €104.6K
1553039139-4186,https://socialblade.com/youtube/top/5000/mostsubscribed,mangelrogel,https://socialblade.com/youtube/c/mangelrogek,mangelrogel,432,5617508,374714089,ES,Entertainment,"Mar 19th, 2006",B-,,https://youtube.com/channel/UCP4shyHDsJv-n_5T1QdcybA,,https://twitter.com/mangelrogel,,https://plus.google.com/105584455250737919232,€161 - €2.6K,€1.9K - €30.8K
1553039135-4185,https://socialblade.com/youtube/top/5000/mostsubscribed,Cute Girls Hairstyles,https://socialblade.com/youtube/c/hairstyles,Cute Girls Hairstyles,584,5611031,1153432595,US,Entertainment,"Mar 17th, 2009",B,,https://youtube.com/channel/UC2LgZ_4GzSFQS-3a87_Jc6w,,https://www.instagram.com/cutegirlshairstyles,,https://plus.google.com/105351258619862028558,€0 - €0,€0 - €0
